package,revdep_coverage_expression,revdep_coverage_line,n_revdeps,n_ran_revdeps
orthopolynom,68.68131868131869,70.28493894165535,22,19
permute,44.35564435564436,45.131244707874686,21,17
pastecs,3.254067584480601,2.8666666666666667,8,7
ParamHelpers,68.56840993132593,68.95927601809954,12,12
nleqslv,62.53333333333333,62.71523178807947,48,44
mice,24.65991316931983,22.331566994700985,36,21
lhs,14.600146735143065,14.611650485436895,30,27
phonTools,5.544455544455545,4.705882352941177,5,5
pillar,72.51381215469614,72.98524404086265,20,20
pixmap,17.666666666666668,18.429003021148034,9,5
DiagrammeR,8.91484328799527,10.569390039171795,25,21
phylobase,48.56696195935383,47.09707385044125,9,6
pkgload,52.34375,50.59241706161137,7,7
polycor,12.131147540983607,11.267605633802818,12,7
poLCA,68.41243862520459,69.98420221169036,6,5
ordinal,18.602111394248272,18.5811320754717,7,6
parameters,21.506744718757954,18.65177049801174,8,7
ppcor,76.78571428571429,81.42857142857143,9,7
party,53.80750925436277,52.95679459328989,21,16
polynom,50.464396284829725,50.74626865671642,28,23
prettyunits,56.71641791044776,56.074766355140184,10,10
officer,49.202037351443124,50.524861878453045,25,21
pls,31.984478935698448,32.47863247863248,39,19
promises,39.209726443769,45.51282051282051,8,7
R.cache,37.76722090261283,38.17330210772833,13,9
polyclip,44.76933073424301,44.8130081300813,6,4
pspline,74.59016393442623,74.38307873090481,9,7
qdapRegex,17.857142857142858,15.328467153284672,6,5
pryr,23.146067415730336,22.372881355932204,25,22
proxy,38.862559241706165,37.772675086107924,32,26
readODS,65.4320987654321,66.46706586826348,8,8
R.methodsS3,57.78364116094987,57.98969072164949,25,18
R6,87.27272727272727,87.31343283582089,264,246
quadprog,92.64475743348983,92.98507462686567,104,84
readbitmap,66.66666666666666,63.33333333333333,6,5
rARPACK,100,100,18,15
R.matlab,51.38086062941555,58.56634468734113,12,8
processx,63.61007847996696,63.50226928895613,22,22
openssl,41.42581888246628,41.77262528047868,53,49
rematch2,14.705882352941178,11.881188118811881,10,10
prodlim,31.785714285714285,33.099121706398996,21,14
rex,50.98039215686274,50.931677018633536,6,5
pROC,20.909372100216515,23.364978902953588,55,26
rentrez,32.857142857142854,35.09615384615385,6,6
Rfit,47.12837837837838,48.367029548989116,8,6
Rglpk,37.610619469026545,37.919463087248324,26,22
e1071,49.64964964964965,50.330833700926334,145,85
rio,9.70873786407767,16.608594657375146,14,7
reshape,57.204301075268816,57.65765765765766,92,58
rlist,25.98039215686275,26.186579378068743,35,25
rstantools,8.30945558739255,5.905511811023622,28,23
rsample,28.091603053435115,26.954732510288064,6,5
rprojroot,44.13793103448276,50.56179775280899,22,22
RcppEigen,60.87464920486436,60.675990675990676,8,7
rtf,0,0,6,5
rsvg,57.692307692307686,57.25190839694656,5,5
rsm,38.35920177383592,38.88470233609646,6,5
rsdmx,42.32804232804233,40.620272314674736,5,5
rTensor,45.69789674952199,47.183098591549296,8,7
roxygen2,33.76154154957848,31.80921052631579,17,16
recipes,26.213301378070703,25.80227370844726,10,9
Rtsne,80.24691358024691,80.09153318077803,19,10
sessioninfo,38.91891891891892,33.46613545816733,5,5
settings,63.63636363636363,57.831325301204814,6,5
optimx,14.335135135135136,15.378221113881963,39,32
randtoolbox,17.133706965572458,16.308376575240917,31,26
selectr,34.90701001430615,32.379394930498776,5,5
sampling,14.409810935104753,13.65062761506276,13,10
plot3D,58.15031231110216,59.71384244095845,29,23
reshape2,78.43137254901961,79.36507936507937,456,324
shape,70.62937062937063,71.36842105263158,26,23
sets,33.980582524271846,32.235084594835264,13,12
sodium,40.896358543417364,40.896358543417364,5,5
snakecase,53.64963503649635,42.173112338858196,6,6
Rmpfr,36.802464909277646,36.04551920341394,28,23
sfsmisc,14.354995150339475,14.949324324324326,34,24
startupmsg,75.43859649122807,77.41935483870968,13,13
sjlabelled,50.79207920792079,51.52329749103942,10,10
ssanv,21.283783783783782,20,5,5
som,61.18326118326118,62.06896551724138,8,8
splitstackshape,13.719512195121952,15.989159891598916,7,5
randomForest,74.12280701754386,75.69843092231152,118,64
shinyWidgets,21.872103799814642,18.673050615595074,33,25
stabledist,54.13333333333333,59.125475285171106,13,11
SQUAREM,42.234332425068125,40,6,6
spacetime,30.07181328545781,34.910878918254454,17,13
survRM2,28.40909090909091,27.906976744186046,5,5
signal,33.77622377622377,34.41295546558704,44,40
StatMatch,3.0871670702179177,3.074517978113601,5,5
statnet.common,44.352617079889804,44.05594405594406,16,14
rcdd,56.21189405297351,56.24375624375625,9,7
subplex,94.82352941176471,95.02262443438913,9,7
storr,51.97168857431749,49.27905004240883,5,5
svglite,0.15360983102918588,0.14619883040935672,9,8
sys,65.39923954372624,68.05555555555556,13,13
stringdist,70.72111207645526,70.99841521394612,35,27
tensor,74.4186046511628,78.84615384615384,13,13
testit,34.61538461538461,32.467532467532465,9,8
textshape,15.754560530679933,16.07538802660754,5,5
tframe,54.58612975391499,52.63157894736842,16,15
slam,46.941549614861806,46.75828047921071,44,36
strucchange,29.90325417766051,31,17,14
tidytext,21.32132132132132,19.26782273603083,12,11
statmod,14.415675297410777,15.251196172248804,71,56
triangle,14.965986394557824,14.739884393063585,14,13
tidyselect,67.00167504187606,67.35751295336787,79,73
tokenizers,69.5906432748538,71.42857142857143,12,9
truncdist,39.285714285714285,40.35087719298245,10,10
trust,78.15533980582524,78.0952380952381,13,12
ucminf,69.82097186700767,71.28953771289538,13,12
scales,58.233890214797135,56.936416184971094,336,260
TSP,38.16489361702128,38.15461346633416,10,6
topicmodels,44.181899242086494,44.599303135888505,8,7
truncnorm,91.24668435013263,91.56010230179028,53,40
tm,55.70247933884298,54.1881443298969,51,34
rrcov,47.66556291390728,48.481273960483634,23,18
SKAT,11.398026315789474,12.06503137478608,12,11
plotly,50.48917877260599,49.300772281360885,113,82
uuid,66.35802469135803,66.35802469135803,36,33
variables,85.9375,80.35714285714286,6,6
validate,22.40515390121689,20.296465222348917,6,6
tsibble,35.63487419543593,33.55387523629489,10,10
TTR,12.278630460448642,12.281722933643772,13,10
units,58.291457286432156,59.72222222222222,27,25
urltools,34.51824134705332,34.44753946146704,17,16
utf8,64.63374212794166,65.06296415886341,6,6
wesanderson,43.75,50,6,5
viridisLite,80,87.5,37,29
WriteXLS,40.714285714285715,44.51219512195122,6,6
timeSeries,26.78428227746592,29.796918767507,27,24
stringr,75.35714285714286,73.52941176470588,859,730
withr,30.597014925373134,29.830508474576273,65,62
vcd,43.932708218422505,46.838311019567456,16,7
zeallot,35.79545454545455,33.035714285714285,7,7
lava,32.1326042378674,32.46523043359695,10,9
XLConnect,16.80911680911681,21.32034632034632,6,5
openxlsx,53.50599013389711,52.99295774647887,46,38
wmtsa,17.240168539325843,17.87819253438114,8,8
rpart,83.82399493510604,83.0138602182247,108,77
urca,19.55252918287938,21.239356669820246,18,14
matrixStats,39.132409720645015,39.48227611940299,119,83
sn,19.073748902546093,17.828773168578994,28,25
wrapr,34.33799784714747,34.112341123411234,8,8
tseries,53.66027007818053,53.67670877874959,44,33
xlsx,27.906976744186046,28.45691382765531,25,17
xtable,53.566621803499324,45.81231079717457,109,73
plyr,77.4102079395085,76.5262252794497,647,525
readxl,62.548923679060664,62.77284720556489,90,70
SnowballC,31.288515406162464,31.288515406162464,28,21
mvtnorm,75.29205607476635,75.71030640668523,597,482
rgeos,55.40688148552704,55.2071973827699,128,105
vctrs,55.193560751245684,55.38644470868014,18,17
xml2,70.02253944402705,70.01466275659824,278,264
spam,37.699640955800426,38.85010266940452,27,26
msm,17.68458197611292,18.107777928600516,65,50
tidyr,74.14675767918088,72.32277526395173,614,512
plotrix,14.24759871931697,14.17987594762233,102,76
tibble,79.69588550983899,78.1275221953188,712,644
purrr,59.719887955182074,57.932692307692314,592,535
fields,36.20113598396258,35.3008106954914,142,116
rgdal,61.19141480508104,60.19516161821509,188,153
lubridate,62.41114586295138,62.37675142708874,318,285
quantreg,48.08457711442786,47.259810554803785,89,64
readr,54.78697941598851,56.66016894087069,261,233
forecast,51.31877189367402,50.876696832579185,82,71
sf,71.46647797629578,72.0343461030383,147,130
jsonlite,76.72226250906455,77.19359331476323,716,682
lattice,69.64903608502225,72.65265265265265,381,255
sp,67.14939024390245,67.89079023264757,495,419
vegan,23.26208357404198,23.76686699172242,103,73
nlme,54.31617017226611,54.22299984094162,212,172
MASS,63.83456956619465,63.44725111441307,1441,1111
git2r,42.257160461926816,42.25282345948088,24,21
dplyr,74.3879472693032,73.46135496183206,1500,1284
