package,revdep_coverage_expression,revdep_coverage_line,n_revdeps,n_ran_revdeps
ADGofTest,96.7741935483871,96.7741935483871,9,8
binom,34.815515610217595,34.090909090909086,11,9
CircStats,18.543046357615893,16.86320754716981,14,11
arrangements,13.306063522617903,13.411708253358926,5,5
CompQuadForm,91.49888143176734,91.20370370370371,29,26
config,85.71428571428571,86.27450980392157,10,9
coxme,13.968033356497568,13.753943217665615,10,7
assertthat,80.45977011494253,77.01149425287356,207,193
AUC,49.01960784313725,50.98039215686274,7,5
assertive.types,8.24742268041237,7.017543859649122,8,8
blob,21.62162162162162,17.582417582417584,5,5
attempt,16.05839416058394,14.76510067114094,8,8
anytime,57.3170731707317,57.48987854251012,12,10
aod,11.890838206627679,12.149532710280374,9,5
bootstrap,12.684365781710916,13.157894736842104,8,8
assertive.properties,20.3125,19.591141396933562,7,7
backports,15.748031496062993,16.417910447761194,30,29
checkr,37.359900373599004,36.56330749354005,5,5
bigassertr,82.8125,81.81818181818183,5,5
bmp,89.65517241379311,89.65517241379311,5,5
automap,33.003300330033,36.29807692307692,8,8
colorRamps,60.97560975609756,44.285714285714285,15,9
behavr,69.1699604743083,66.4259927797834,5,5
chk,48.28125,46.91729323308271,8,8
countrycode,78.02197802197803,75.49019607843137,12,11
betareg,24.360105913503972,25.055106539309328,11,9
cellranger,57.0945945945946,56.395348837209305,7,7
classInt,43.0406852248394,41.7558886509636,29,24
calibrate,7.836990595611286,8.333333333333332,10,8
brew,61.25000000000001,65.59633027522935,17,16
bitops,68.88888888888889,62,29,28
combinat,71.05263157894737,67.04119850187266,51,36
coneproj,32.026875699888016,32.207207207207205,9,9
data.tree,58.520900321543415,55.74468085106383,23,17
compare,34.932349323493234,44.090528080469404,6,5
codetools,69.55555555555556,70.97345132743362,21,20
CTT,10.344827586206897,7.387862796833773,6,5
cmprsk,84.5771144278607,85.8508604206501,13,11
bdsmatrix,60.22330774598744,62.946175637393765,8,7
DALEX,38.84297520661157,40.153452685421996,10,9
corrplot,69.26713947990544,65.63636363636364,39,16
capushe,28.19499341238472,31.5606936416185,7,6
class,42.943548387096776,43.63636363636363,55,39
bbmle,42.13406292749658,40.251949610077986,14,10
abind,49.244712990936556,47.953216374269005,155,110
corpcor,77.16346153846155,75.9493670886076,97,66
BBmisc,61.4,64.48430493273543,35,34
crayon,60.12658227848101,60.6951871657754,174,162
bayesplot,34.23194303153612,33.91674550614948,18,14
bayestestR,25.75689109805694,26.5814266487214,8,7
dbplyr,42.64173703256936,40.089753178758414,24,23
AlgDesign,37.11734693877551,37.829997098926604,10,7
bit,29.745493107104988,29.71014492753623,15,14
coin,26.272189349112423,26.732673267326735,20,13
dbscan,21.101774042950513,20.459484632101834,13,9
DBI,62.34567901234568,60.4261796042618,127,119
cli,58.95522388059702,63.69346733668342,79,70
agricolae,5.261348005502063,5.2727938484071775,6,4
diptest,66.66666666666666,62.36162361623616,13,11
DEoptim,67.85714285714286,66.0617059891107,24,21
filehash,55.68942436412316,55.55555555555556,6,6
deldir,65.41850220264317,66.11526147278548,28,21
ellipse,32.93172690763052,32.25806451612903,40,30
diagram,69.26677067082684,67.3582295988935,12,9
docopt,75.68181818181819,76.4406779661017,5,5
Deriv,59.02964959568733,61.287398005439705,9,8
emulator,40.20100502512563,39.130434782608695,9,8
doRNG,62.5,65.41353383458647,17,11
dummies,69.0909090909091,72.58064516129032,10,8
entropy,36.65158371040724,33,20,17
desc,70.3225806451613,69.76127320954907,28,28
dtw,33.74149659863945,34.15841584158416,16,14
elasticnet,53.7109375,55.952380952380956,16,9
DistributionUtils,32.66129032258064,30.795454545454547,6,5
ellipsis,82.55813953488372,82.30088495575221,14,14
evaluate,62.39554317548747,64.84375,11,10
dygraphs,57.00636942675159,49.282920469361144,18,16
fansi,47.15588363004776,43.91891891891892,5,5
filesstrings,24.867724867724867,31.438127090301005,5,5
fdrtool,64.6846846846847,66.88311688311688,22,14
fftwtools,44.099378881987576,44.148936170212764,6,6
flexclust,3.99673735725938,3.9617969579059076,12,7
fasterize,63.13725490196078,63.13725490196078,7,6
fOptions,11.423220973782772,10.217216411906678,5,5
fastcluster,44.911937377690805,45.70877531340405,19,10
epitools,0,0,11,4
emplik,15.617977528089888,16.333523700742433,7,7
ffbase,9.152752009894867,10.032188841201716,6,6
DoseFinding,22.343168146662848,22.614654717975753,6,5
DiceKriging,48.96097313735429,49.635369188696444,20,16
forcats,59.45945945945946,56.34674922600619,59,51
FME,33.21262286601138,33.57664233576642,8,7
actuar,7.401161701330336,7.0102751077229035,15,13
functional,29.411764705882355,33.33333333333333,14,10
flextable,58.31655255739025,61.48199930094373,19,15
fpCompare,50,50,5,5
forestplot,65.36458333333334,66.30681818181819,11,8
formatR,42.59927797833935,39.56043956043956,11,11
formula.tools,17.857142857142858,22.388059701492537,15,11
formattable,32.369942196531795,31.177829099307157,7,5
Formula,89.75609756097562,88.47926267281106,147,116
fracdiff,71.02306327616795,70.36625971143174,14,12
futile.logger,56.9620253164557,52.4390243902439,26,22
curl,75.47554347826086,74.24639580602883,177,166
future.apply,40.97693351424695,42.632850241545896,31,24
circular,24.69184112698102,24.07231208372978,20,18
expm,53.871177618737796,56.19047619047619,61,49
Epi,11.139896373056994,10.150312447221753,8,6
gargle,9.925093632958802,10.442678774120317,5,5
gdalUtils,24.707259953161593,23.83107088989442,9,9
gdtools,60.85626911314985,60,6,6
genalg,44.79166666666667,40.131578947368425,7,6
fs,60.14986376021798,59.6116504854369,50,47
glasso,88.43537414965986,88.8402625820569,33,19
GenSA,79.41176470588235,79.64022894521669,15,8
ggfittext,68.98395721925134,69.25287356321839,7,6
GenOrd,77.77777777777779,77.435897435897445,7,7
generics,13.725490196078432,9.722222222222223,30,29
checkmate,71.58916709248851,71.40680548501777,122,110
gtable,72.39583333333334,72.93064876957494,59,54
gee,73.24281150159744,73.33333333333333,17,16
ggrepel,81.94174757281554,88.33746898263027,84,51
arules,43.9344262295082,43.467048710601716,26,15
glm2,60.32388663967612,58.78378378378378,9,5
GIGrvg,59.61538461538461,59.61538461538461,12,6
ggridges,38.54166666666667,43.40836012861736,24,17
globals,64.22487223168655,67.74716369529983,6,3
glue,77.47747747747748,76.75070028011206,183,170
gdata,26.796805678793255,25.718608169440245,59,39
fpc,9.676663542642924,10.561797752808989,16,11
bit64,14.77656778069846,13.639993611244211,25,24
GPArotation,54.385964912280706,51.5527950310559,17,10
gsubfn,58.46645367412141,63.18289786223278,14,13
hms,47.53086419753087,44.11764705882353,22,22
hoardr,20.87912087912088,18.88888888888889,13,13
gridBase,81.81818181818183,85.22727272727273,14,11
hash,59.32203389830508,63.63636363636363,17,14
ggthemes,8.488964346349745,7.361963190184049,36,27
HDInterval,55.68181818181818,52,7,5
goftest,48.50498338870432,52.64623955431755,8,6
ICS,41.45077720207254,42.13333333333333,6,6
imputeTS,17.599999999999998,17.38609112709832,7,5
foreach,81.32780082987551,84.29054054054053,502,359
ICSNP,14.466292134831459,13.9385275196569,6,6
hypergeo,26.034308779011102,24.656188605108053,11,11
infotheo,70.53571428571429,69.35064935064935,15,10
hutils,13.500404203718674,11.830357142857142,6,6
ini,100,100,6,6
isotone,35.19553072625698,39.603960396039604,7,6
extraDistr,10.318088305111567,10.191387559808613,13,10
geepack,58.00132802124834,57.61223162003903,22,15
ggforce,7.360097323600972,10.51028179741051,23,21
irlba,48.88641425389755,45.72072072072072,18,12
gmp,52.956989247311824,52.65800354400473,30,21
gnm,51.441578148710164,50.07638252367859,11,10
gridExtra,72.93729372937293,77.87234042553192,300,213
irr,25.655172413793103,27.93427230046948,10,7
iterators,68.80733944954129,68.90951276102089,87,68
JADE,34.23913043478261,35.89164785553047,7,6
janitor,13.61111111111111,14.940021810250817,13,12
GGally,39.51020408163266,35.981685968219765,46,26
jpeg,57.23905723905723,57.23905723905723,50,42
Kendall,55.15695067264574,54.958677685950406,10,10
lamW,92.85714285714286,92.85714285714286,8,7
labelled,18.66125760649087,18.503937007874015,9,6
gtools,28.52153667054715,28.71939736346516,171,121
lambda.r,25.104022191400833,24.193548387096776,6,6
lars,86.40350877192982,86.60714285714286,39,27
kohonen,38.995815899581586,37.44262295081967,11,8
htmltools,63.11953352769679,63.25581395348837,169,157
kinship2,44.92227979274611,44.33040078201368,20,16
kableExtra,49.26108374384236,46.7020805666224,25,17
later,60.49562682215743,60.66763425253991,7,7
ggpubr,24.201223657375934,27.80113776898343,30,21
KernSmooth,80.74745186862967,81.80851063829788,68,55
logging,61.21495327102804,63.33333333333333,8,7
kappalab,9.255813953488373,8.664383561643836,6,6
longitudinalData,29.81843575418994,30.475552578700604,6,5
LearnBayes,10.224719101123595,8.686210640608035,9,8
lmerTest,46.39468690702087,45.96912521440824,17,10
lifecycle,56.60377358490566,52.054794520547944,26,26
ltsa,55.50000000000001,55.88235294117647,8,5
lsa,19.682539682539684,19.705882352941178,11,6
miniUI,6.329113924050633,18.58974358974359,58,53
KFAS,30.11285439031104,30.60831930752585,10,7
magic,4.793028322440087,4.364326375711575,31,20
mcclust,16.194331983805668,15.677966101694915,6,5
lazyeval,59.496124031007746,59.16030534351145,106,94
loo,24.804905239687848,22.964169381107492,18,12
matlab,18.898809523809522,19.835680751173708,16,11
MHadaptive,51.127819548872175,53.23741007194245,5,5
mcmcse,36.31578947368421,36.25632377740304,7,6
Metrics,14.583333333333334,14.14141414141414,8,5
mapproj,21.978021978021978,22.647793505412157,16,11
lmtest,50.79513564078578,52.59911894273128,69,46
memoise,67.3076923076923,69.07894736842105,65,58
logspline,31.864637746990688,31.639827625311863,5,5
matrixcalc,30.579710144927535,30.55954088952654,74,52
miscTools,35.526315789473685,36.3905325443787,23,12
magick,40.216878830740214,40.1469912723932,27,23
mlbench,47.72727272727273,49.36061381074169,10,9
mc2d,5.914202415660141,6.051371353939921,13,10
distr,54.90577325755309,56.469536339251505,21,19
metRology,0.1667778519012675,0.11487650775416428,5,5
mlr3misc,64.73149492017417,65.14522821576763,9,9
moonBook,28.680851063829788,26.75324675324675,5,5
maxLik,56.10249494268375,55.669099756691,41,37
modelr,10.76923076923077,12.541254125412541,5,5
moments,35.580524344569284,35.03649635036496,59,43
mlr3,66.66666666666666,67.49367088607595,7,7
mlt,71.50537634408603,72.69180754226268,5,5
minpack.lm,68.19444444444444,68.94915254237289,56,45
modeltools,57.407407407407405,57.97546012269939,14,13
multicool,30.254777070063692,28.279883381924197,8,5
norm,59.85221674876847,59.20716112531969,7,4
minqa,75.98833441348023,75.91876208897486,22,20
mstate,36.652542372881356,37.74089935760171,5,5
NbClust,80.06644518272425,84.49230769230769,8,5
nabor,73.05122494432071,73.46491228070175,10,9
mvmeta,43.17460317460318,47.37384140061792,7,6
nnls,92.53731343283582,91.52941176470588,33,19
neuralnet,31.866825208085615,29.166666666666668,13,8
normalp,6.722689075630252,4.906542056074766,5,5
nortest,85.57692307692307,86.4406779661017,25,14
multcomp,50.07204610951008,51.50240384615385,43,23
parallelMap,49.053030303030305,46.422628951747086,13,13
mnormt,85.88421887390959,86.60640920295809,56,47
numbers,11.457286432160805,11.776859504132231,10,7
nloptr,62.890276538804635,62.28373702422145,70,54
outliers,13.442622950819672,11.220472440944881,9,7
paradox,66.59528907922912,66.73553719008265,7,7
cluster,63.95515952860017,63.87951807228915,164,102
numDeriv,81.04265402843602,81.16591928251121,214,186
foreign,25.558571726874085,24.799839871897518,67,50
paws.common,7.025920873124147,5.955757231990924,11,11
pheatmap,76.39484978540773,75.57894736842105,24,12
pbapply,53.39578454332553,54.25330812854442,90,65
pdist,71.42857142857143,69.23076923076923,21,15
