"arg_sig","count"
"[I, L, sD]",1
"[error, sC]",115
"[M{C}, M{D}, M{I}, data.frame, sS]",1
"[sD, language, sN, error]",1
"[l{L}]",115
"[D, Y, data.frame, externalptr, language, l{?}, raw_NA, sC, sD, sE, sF, sI, sL, sN]",1
"[sC, l{sE}, l{l{?}}]",1
"[l{sN}, l{D}]",3
"[l{?}, l{I}, l{l{?}}]",12
"[sS, l{sS}]",5
"[missing, sC, sD]",10
"[l{externalptr}, sN]",2
"[C, D, L, l{C}, raw_NA, sD, sN]",1
"[D, l{C}, sL, sN]",1
"[C, raw_NA, sN]",1
"[C, M{C}, sN]",2
"[error, sD]",301
"[sC, sD, C, D, sI]",1
"[l{I}, l{language}, l{D}]",1
"[D, I, M{D}, sD, sI]",7
"[l{Y}, C, l{?}]",1
"[C, Y, language, l{?}, l{C}, l{language}, sC, sD, sF, sI, sN, sS]",1
"[error, sE, sI]",1
"[l{I}, sD, l{L}, D, sI, I, l{D}]",1
"[l{?}, l{C}, l{I}, l{L}, l{l{?}}]",1
"[error, language, raw_NA, sN]",1
"[sX, X]",35
"[D, L, missing, sD, sI]",1
"[C, I, sC, sD, sN]",3
"[missing, raw_NA]",2
"[sS, sI, I]",14
"[D, l{?}, sD]",6
"[C, D, I, L, data.frame, language, l{?}, l{l{?}}, sC, sD, sF, sN]",1
"[D, M{D}, sD, sX]",1
"[sX, X, I]",1
"[sC, sD, l{I}, M{D}, M{I}, sI, sL, l{D}, M{L}, M{C}]",1
"[C, raw_NA, sC, sI, sN]",1
"[C, D, I, data.frame, error]",1
"[C, l{l{?}}, sC]",1
"[l{?}, l{l{?}}, l{sE}]",1
"[M{D}, l{?}, l{D}]",5
"[M{D}, D, sI, M{I}, I]",1
"[D, I, L, M{D}, M{I}, M{L}, sD]",1
"[sC, sD, sF, I, sL, sN, error, data.frame, l{l{?}}, l{?}]",1
"[l{Y}, sE, l{D}, l{?}]",1
"[l{I}, l{sN}, sN]",3
"[C, D, I, L, externalptr, missing, raw_NA, sC, sD]",1
"[I, sI, sS]",3
"[l{C}, l{D}, l{I}, l{l{?}}]",1
"[sI, l{D}]",1
"[Y, language, pairlist, sD, sN]",1
"[X]",61
"[arg2_t]",1
"[l{?}, l{C}, l{D}, l{I}, l{L}, l{sS}, sS]",1
"[l{?}, sF, unevaled]",1
"[sC, sD, C, D, sN]",1
"[l{language}, sF]",2
"[l{?}, l{C}, l{language}]",1
"[M{D}, M{I}, R]",1
"[M{I}, M{C}, raw_NA]",1
"[C, l{?}, l{l{?}}, sC, sE, sF, sI, sN, unevaled]",2
"[I, L, sI]",3
"[data.frame, sF, sN]",7
"[I, missing, sC, sD, sI]",1
"[Y]",64
"[sS, sC, C, D, sI, I]",1
"[D, I, sC, sD, sI, sL, sN]",1
"[C, D, raw_NA, sC, sD, sI, sN]",1
"[C, I, sC, sD, sI]",8
"[D, I, L, M{D}, sD, sI, sS]",1
"[D, I, L, M{L}, missing, sI, sL]",1
"[D, I, M{D}, data.frame, error, l{?}, l{D}, sD]",1
"[C, D, I, L, R, X, l{I}, raw_NA, sC, sD, sF, sI, sL, sR, sX]",1
"[l{X}, l{?}]",1
"[language, l{?}, l{language}, l{l{?}}, sN]",1
"[l{?}, l{C}, l{D}, l{l{?}}, l{sN}, sC, sL, sN]",2
"[sD, M{I}, I, sN, error]",1
"[sD, M{D}, D, M{I}]",3
"[M{D}, error, sD]",6
"[D, M{D}, sD, sS]",5
"[l{C}, l{sN}, sC, sN]",1
"[C, D, missing]",1
"[C, D, I]",80
"[l{l{?}}, unevaled]",2
"[l{Y}, sC]",1
"[D, I, L, M{L}, missing]",1
"[M{R}]",54
"[l{l{?}}]",2992
"[D, I, L, missing]",2
"[externalptr, l{?}, l{l{?}}]",3
"[C, l{D}]",1
"[sD, M{D}, M{I}]",1
"[l{?}, l{C}, l{l{?}}, l{sF}]",2
"[sC, sD, C, D, sI, I, raw_NA]",1
"[C, D, I, L, M{C}, M{D}, data.frame, l{?}, l{C}, l{D}, l{I}, l{Y}, l{language}, l{l{?}}, l{sN}, raw_NA, sC, sD, sF, sI, sL, sN]",1
"[C, D, I, sN]",1
"[D, l{?}, sN]",2
"[l{?}, l{sF}, sN]",1
"[I, l{D}]",4
"[error, sE, sS]",1
"[l{C}, l{L}]",1
"[l{?}, l{C}, l{D}, l{I}, l{L}, l{language}, l{l{?}}]",1
"[C, M{C}, raw_NA, sC]",1
"[data.frame, l{?}, l{l{?}}]",2
"[sC, sF, error, data.frame, l{?}]",1
"[sD, D, sL, sN, L]",1
"[C, D, L]",2
"[sD, C, D, I, L, data.frame, l{l{?}}, pairlist]",1
"[I, l{?}, l{C}, l{l{?}}, sC]",1
"[D, I, l{?}, l{sN}, sD, sI, sN]",1
"[C, I, data.frame]",2
"[l{I}, D, I, l{D}]",1
"[D, I, M{D}, M{I}, sD, sI]",4
"[l{D}, unevaled]",12
"[D, I, M{D}, sD, sN]",1
"[l{I}, D, I]",1
"[M{C}, M{I}]",9
"[sD, M{D}, D, sL, language, M{L}, L, error]",1
"[l{C}, l{l{?}}, sF, sN]",1
"[Y, expression, language, sF]",1
"[D, I, M{D}, sC, sD, sL, sN]",2
"[D, I, M{C}, M{D}]",1
"[C, D, R]",9
"[l{sF}, l{language}, l{l{?}}, l{?}]",1
"[l{I}, l{L}, l{language}, l{R}, l{sN}, l{D}, l{C}, l{l{?}}, l{?}]",1
"[M{D}, C, D, M{I}, I, M{C}]",1
"[D, X, unevaled]",1
"[sC, sD, sN, l{C}, l{?}]",1
"[M{C}, l{C}]",2
"[sC, l{Y}, sD, sN]",1
"[l{?}, l{D}, missing]",3
"[I, l{?}, l{C}, l{l{?}}, sI]",1
"[l{?}, l{sF}]",32
"[sC, l{I}, C]",1
"[C, D, L, raw_NA, sC, sL]",1
"[D, M{D}, R]",2
"[sI, sL, I, L]",1
"[D, I, M{D}, M{I}, sD, sL]",1
"[sC, C, D, l{sS}, sI, I, L]",1
"[l{?}, l{D}, l{Y}]",2
"[M{C}, M{D}, data.frame, sS]",1
"[D, l{D}, sD]",7
"[language, sC, sN]",5
"[C, l{I}, sC]",1
"[C, D, I, sS]",1
"[C, I, l{C}, sC, sD]",1
"[l{?}, l{C}, l{I}, l{sN}]",1
"[C, M{C}, M{D}, M{I}]",1
"[M{D}, l{l{?}}, sN]",1
"[language, l{?}, l{l{?}}, sC]",2
"[C, I, sI, sS]",3
"[l{I}, C, D, I, l{D}, sN, l{C}, l{?}]",1
"[C, D, I, l{?}, l{C}, l{language}, sC, sD]",1
"[M{C}, M{D}, M{I}, M{L}, sD]",1
"[D, I, L, M{C}, M{D}, data.frame, l{?}, l{D}, sC, sD, sE, sF]",2
"[D, L, sC, sD, sI, sL]",1
"[sS, l{?}]",5
"[C, D, I, L, l{?}, l{I}, sC, sD, sI, sL, sN]",1
"[sC, raw_NA]",3
"[sC, sD, sL, l{D}, sN]",1
"[D, M{D}, error]",7
"[M{C}, raw_NA]",1
"[l{L}, l{?}]",11
"[M{D}, M{I}, sI, M{C}]",2
"[data.frame, raw_NA, sD, sI, sL]",1
"[R, l{R}]",2
"[D, M{D}, error, missing]",2
"[M{D}, D, l{D}, data.frame]",1
"[C, M{C}, data.frame]",1
"[D, M{D}, raw_NA, sD]",1
"[sC, sD, D, I, raw_NA]",1
"[M{D}, l{D}]",90
"[M{D}, l{?}, l{l{?}}]",1
"[C, D, I, error, sC, sF, sN]",1
"[l{?}, l{C}, l{D}, l{l{?}}]",2
"[L, R]",1
"[M{D}, M{I}, missing, raw_NA, sC, sS]",1
"[D, M{D}, sD, sI]",4
"[raw_NA, sC, sN]",5
"[M{C}, M{D}, M{I}, data.frame, sC]",1
"[C, D, I, L, sD, sI]",4
"[sC, sD, C, D, I, sN, raw_NA]",1
"[l{D}]",5798
"[I, Y, language, pairlist, raw_NA, sC, sD, sF, sI, sL, sN]",1
"[l{?}, l{C}, l{L}, l{expression}, l{l{?}}, l{sN}, sE]",1
"[l{?}, l{L}, l{sN}]",1
"[D, I, L, sD, sI]",3
"[M{D}, error, sS]",1
