"arg_sig","count"
"[C, D, I, Y, language]",1
"[C, D, I, sS]",4
"[L, error, sF]",2
"[C, I, X, error]",1
"[D, L, l{?}, sS]",1
"[C, D, I, L, M{C}, R, X, Y, error, expression, externalptr, language, l{?}, pairlist, sE, sF, sN, sS]",1
"[D, M{X}, X, l{?}, sN]",1
"[L, X]",1
"[D, I, L, sN]",6
"[sS, D]",11
"[sS, l{?}]",50
"[Y, language, sF, sN]",1
"[C, L, missing]",2
"[C, D, I, l{?}, unevaled]",1
"[L, sE, sF]",2
"[C, unevaled]",21
"[L, missing, sN]",1
"[C, D, L, Y, language]",2
"[sF, C, D, I, L]",2
"[I, sN]",368
"[l{?}]",55311
"[C, D, I, R, sN]",3
"[C, D, I, sN, l{?}]",5
"[sS, C, I, M{C}, l{?}]",1
"[sS, C]",12
"[D, I, l{?}, missing, sS]",1
"[M{C}, L, l{?}]",2
"[sE, C, D, language, sN, error, l{?}]",1
"[arg18_t]",1
"[error, externalptr]",2
"[C, error, missing]",10
"[C, D, I, l{?}, sE, sS]",1
"[M{C}, sF, unevaled]",1
"[D, error, unevaled]",1
"[sS, I, l{?}]",2
"[M{X}, l{?}]",43
"[sF, I, error]",1
"[expression, missing]",1
"[M{X}, X]",3
"[M{C}, M{R}, M{X}, l{?}]",1
"[missing, sF, sN]",1
"[sF, sN, L]",1
"[C, I, L]",23
"[C, sF, D, I, L, l{?}]",1
"[L, R]",2
"[expression, sN]",2
"[sN, sS]",59
"[C, D, I, L, l{?}, sE, sF, sN]",1
"[C, D, I, M{C}, L, l{?}]",3
"[D, I, L, l{?}, missing]",7
"[C, D, L, l{?}]",9
"[C, D, I, L, error, sN]",1
"[l{?}, sE]",25
"[C, D, I, L, externalptr]",2
"[language, l{?}, sF]",1
"[sS, D, sN, M{C}, l{?}]",1
"[C, Y, sF]",2
"[D, sN, error, M{C}, l{?}]",1
"[D, L, Y, language, l{?}, pairlist, sE, sN]",1
"[sS, C, D, I]",1
"[C, I, Y, language, sE, sF]",1
"[D, I, L, Y, language]",2
"[sE, l{?}]",10
"[C, Y, language]",6
"[C, I, L, M{C}, expression, language, sN]",1
"[l{?}, sF]",223
"[C, I, l{?}, sS]",2
"[l{?}, sE, sS]",1
"[C, sF, D, L]",1
"[sE, sF]",7
"[D, L, l{?}, sF]",5
"[arg17_t]",1
"[D, error, l{?}, missing]",3
"[C, L, sF, sN]",2
"[C, D, L, Y, language, sN]",1
"[D, L, M{C}, l{?}, sS]",1
"[sS, D, I]",3
"[D, I, l{?}, sF, sN, sS, unevaled]",1
"[M{X}]",62
"[D, X, l{?}, sF, sS]",1
"[C, language, sF]",2
"[L, missing]",72
"[D, Y, sE, sN]",1
"[C, D, I, L, l{?}, sE, sF]",1
"[D, I, sF]",44
"[sS, C, D, I, sN, L, l{?}]",2
"[C, D, I, L, R]",1
"[sS, sE, C, sF, D, I, language, sN, M{C}, L, l{?}]",1
"[C, D, I, L, M{C}, error, externalptr, l{?}, sF, sS]",1
"[sE, sF, C]",1
"[I, error, l{?}]",2
"[C, D, I, L, pairlist, l{?}]",1
"[C, D, I, sN, L, l{?}]",7
"[C, sE]",11
"[R, C, D, X, I, L]",3
"[D, error]",523
"[C, language, sN]",6
"[weakref]",2
"[D, I, L, language, l{?}, sS, unevaled]",1
"[arg15_t]",1
"[L, l{?}, sS, unevaled]",1
"[D, X, l{?}]",9
"[C, D, I, sE, sN]",2
"[D, error, language, l{?}, sF]",1
"[Y, language]",33
"[D, L, l{?}, sN]",2
"[sE, L]",1
"[error, l{?}, sN, sS]",1
"[C, I, sN, unevaled]",1
"[C, R, sF]",1
"[C, D, I, L, missing]",7
"[D, l{?}, pairlist, sN]",1
"[sF, I, sN]",1
"[I, l{?}, unevaled]",1
"[C, D, I, L, X]",1
"[C, D, I, L, Y, language, l{?}, sF, sN]",1
"[error, unevaled]",1
"[sS, C, sF, D, I, language, sN, L, error, M{C}, l{?}]",1
"[D, I, L, sF]",2
"[sS, sE, C, D, I, language, L, error, l{?}]",1
"[sE, C, D, I, error, pairlist, l{?}]",1
"[L, missing, sF]",2
"[D, language, L, error, l{?}]",1
"[externalptr, sS]",1
"[C, D, I, Y, language, pairlist]",1
"[C, D, I, error, l{?}]",3
"[M{X}, sN]",2
"[D, language, sN]",2
"[sS, C, D, externalptr, I, L, error, M{C}, R, sE, sF, X, sN, pairlist, l{?}]",1
"[l{?}, missing]",206
"[C, I, expression]",4
"[C, D, I, L, M{C}, l{?}]",5
"[C, I, language, sS]",1
"[C, D, I, L, M{C}, externalptr, language, l{?}, pairlist, sF, sN, sS]",1
"[sS, C, D, I, M{C}, L, l{?}]",1
"[C, sF]",310
"[language, L]",2
"[C, M{C}, R, l{?}]",1
"[C, D, I, sN, sS]",1
"[C, D, language, L]",1
"[C, M{X}]",1
"[C, D, L, Y, language, l{?}, pairlist, sF, sN]",1
"[sN, error]",3
"[missing, sF, unevaled]",3
"[sN, M{C}]",3
"[C, D, I, L, l{?}, sN, sS]",1
"[C, sF, D, I, sN, l{?}]",3
"[sF, language, sN, error]",1
"[C, I, error, l{?}]",1
"[arg8_t]",1
"[C, D, I, X]",2
"[C, M{C}, l{?}, missing]",1
"[C, sN, l{?}]",24
"[C, D, I, L, Y, l{?}, sN]",2
"[language, pairlist]",6
"[X, l{?}]",1
"[D, L, Y, language, pairlist, sN]",3
"[unevaled]",9125
"[D, I, R, l{?}]",1
"[M{C}, M{R}]",3
"[D, sN, L]",2
"[C, D, I, M{C}]",2
"[D, sE, sN]",1
"[sS, M{C}, L, l{?}]",1
"[C, D, I, L, R, X, language, l{?}, sF, sN]",1
"[sE, C, sF, D, sN, l{?}]",1
"[C, M{C}, sF]",1
"[sS, C, D, I, L]",2
"[C, error, l{?}, sE]",1
"[D, I, language, sN, L, error, l{?}]",1
"[R, C, D, X, I, L, l{?}]",1
"[sF, D, I, sN, error, pairlist, l{?}]",1
"[C, L, expression, l{?}, unevaled]",1
"[D, I, l{?}, missing]",7
"[language, missing, sF]",1
"[arg1_t]",1
"[C, L, expression, l{?}, sF, sN]",1
"[D, I, l{?}, unevaled]",3
"[C, sS]",34
"[error, sF, sN]",2
"[C, D, Y, l{?}]",1
"[sE, sN]",27
"[sS, C, L]",1
"[error, l{?}, sE]",1
"[l{?}, sN]",1178
"[C, sN, L, l{?}]",3
"[L, Y, language, sF]",1
"[R, C, l{?}]",1
"[externalptr, sN]",13
"[]",866782
"[sS, C, D, I, sN, M{C}, L, l{?}]",1
"[D, L, M{C}, l{?}]",1
"[C, D, I, L, l{?}, sF, sN, sS]",1
"[D, I, sN]",185
"[C, l{?}, sE, sF]",1
"[sS, C, D, I, L, l{?}]",2
"[error, l{?}, sF]",5
"[D, language, sN, error]",1
"[C, Y, language, missing]",1
"[missing, sF, sS]",1
"[C, D, L, Y, language, sF]",1
"[D, M{C}, l{?}]",22
"[externalptr, I]",1
"[pairlist, sN]",4
"[language, l{?}, missing, sE, sF]",1
"[language, sF]",55
"[D, L, l{?}]",38
"[R, M{R}]",1
"[C, I, language]",1
"[sS, sF, C, D, I, language, sN, error, L, l{?}]",1
"[C, D, I, L, externalptr, missing]",1
"[C, D, L, language, l{?}, sF]",1
"[R, C, D, l{?}]",1
"[C, sF, D, I, error, L]",1
"[language, sF, unevaled]",3
"[C, D, I, L, sN, sS]",1
"[C, D, Y, language, pairlist, sF, sN]",1
"[C, missing, sF, sN]",1
"[I, L, Y, language]",1
"[sE, D]",2
"[l{?}, sF, sN, unevaled]",6
"[C, M{C}, R]",1
"[R, D, I]",1
"[L, M{C}, l{?}, sS]",2
"[C, D, I, L, error, language, l{?}, missing, sN]",1
"[D, missing, sF]",2
