"arg_sig","count"
"[D, I, L]",93
"[C, I, sN, L, l{?}]",3
"[C, D, I, L, M{C}, error, language, l{?}, sF, sN, sS]",1
"[D, L, language]",1
"[C, D, I, L, sN]",16
"[C, D, L, language, sN]",1
"[C, sF, D, I, sN, L, l{?}]",2
"[sF, D, I, L, error]",1
"[C, sN, M{C}]",3
"[C, D, I, L, Y, externalptr, l{?}, sE, sF, sN]",1
"[C, I, sF]",6
"[R, C]",4
"[sF, D, l{?}]",2
"[C, D, L, sF]",4
"[L]",26230
"[sN, unevaled]",9
"[D, I, L, M{C}, language, l{?}]",1
"[sF, sN, sS]",3
"[C, D, l{?}, sN]",9
"[C, D, I, M{C}, language, l{?}, sF, sN, sS]",1
"[D, l{?}, missing]",38
"[language, sF, sN]",5
"[C, sF, sN]",34
"[L, l{?}, sS]",1
"[C, D, sF, sN]",2
"[D, I, sN, error, l{?}]",1
"[C, D, I, L, l{?}, sE]",1
"[..., C, D, L, Y, l{?}, sN]",1
"[C, error]",178
"[C, D, L, M{C}, l{?}]",1
"[C, D, I, L, M{C}, l{?}, sN, sS]",1
"[C, missing]",300
"[sF, l{?}]",16
"[D, L, l{?}, missing]",2
"[D, Y, pairlist, sN]",1
"[externalptr]",652
"[C, D, I, error]",8
"[C, I, M{C}, l{?}, sS]",1
"[D, sN, l{?}]",9
"[C, D, I, L, M{C}, R, l{?}, sN]",1
"[C, D]",509
"[L, M{C}, l{?}]",3
"[C, sF, D, externalptr, I, sN, M{C}, L, l{?}]",1
"[C, l{?}, missing, sF]",1
"[C, D, I, l{?}, sS]",6
"[D, I, X, l{?}]",1
"[D, M{X}, X, l{?}]",6
"[D, I]",3256
"[sN]",13976
"[D, l{?}, sF, unevaled]",1
"[arg14_t]",1
"[R, sS]",1
"[C, D, I, L, language, sF, sN]",1
"[C, D, I, language, sN, L, l{?}]",1
"[l{?}, missing, sF, unevaled]",1
"[sF, sS]",21
"[C, D, error, sN]",2
"[I, l{?}, sN]",15
"[expression, language]",1
"[error, l{?}]",178
"[C, D, I, language, sN, error, l{?}]",1
"[D, I, L, externalptr, sN]",3
"[C, L, language, sF]",1
"[C, sF, D, I, language, sN, L, error, l{?}]",1
"[C, D, I, l{?}, missing]",1
"[C, D, I, L, l{?}, sF, sN]",4
"[I, error, sN]",7
"[I, error, l{?}, sE]",1
"[sF, D, sN, L, error, l{?}]",1
"[sE, D, sN, M{C}, l{?}]",1
"[C, I, error]",6
"[C, D, I, unevaled]",2
"[arg12_t]",1
"[I, unevaled]",7
"[C, D, I, L, Y, language, sN]",2
"[L, sE]",2
"[sS]",4748
"[C, L, sN]",16
"[C, sF, D, language, error, l{?}]",1
"[Y, language, sF]",1
"[D, L]",385
"[C, missing, sF]",12
"[error, sE]",10
"[D, I, sN, l{?}]",6
"[l{?}, missing, sF]",8
"[error]",1757
"[C, D, error]",11
"[C, D, sF, sS]",1
"[C, D, I, L, X, l{?}, sN]",1
"[sF, D, L, l{?}]",2
"[L, sF]",175
"[R]",439
"[sE, sF, sN]",2
"[C, D, I, L, expression, l{?}, sF, sN]",1
"[D, I, L, Y, error, l{?}, missing]",1
"[C, I, L, missing, sS]",1
"[D, I, l{?}, sE, sN, sS]",1
"[error, sF]",27
"[sS, C, D, I, sN, l{?}]",1
"[D, I, L, M{C}, error, l{?}]",1
"[C, D, I, l{?}, sN]",8
"[D, I, error, sN]",3
"[D, Y, language, sF]",4
"[l{?}, missing, sE]",1
"[D, L, X]",1
"[C, I]",338
"[D, I, L, M{C}, l{?}]",8
"[error, l{?}, sF, sN]",1
