package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"doRNG", "%||%", -1, 0, 0, "^double[]", 1
"doRNG", "%||%", 0, 0, 0, "null", 1
"doRNG", "%||%", 0, 0, 1, "double", 1
"doRNG", "%||%", 0, 0, 2, "integer[]", 1
"doRNG", "%||%", 0, 0, 3, "tuple<integer[], integer[], integer[], integer[], integer[]>", 1
"doRNG", "%||%", 1, 0, 0, "^double[]", 1
"doRNG", "%||%", 1, 0, 1, "language", 1
"doRNG", "%||%", 1, 0, 2, "tuple<double[], double[], double[], double[], double[]>", 1
"doRNG", "%||%", 1, 0, 3, "struct<``:double, `normal.kind`:character>", 1
